City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,-3.91,81,100,2.66,GL,1675369964
1,provideniya,64.3833,-173.3,-13.03,93,39,5.32,RU,1675369964
2,nago,26.5881,127.9761,10.24,72,0,3.07,JP,1675369964
3,puerto ayora,-0.7393,-90.3518,29.98,87,100,4.47,EC,1675369965
4,tezu,27.9167,96.1667,16.2,18,0,2.01,IN,1675369965
5,mataura,-46.1927,168.8643,22.58,66,42,0.86,NZ,1675369965
6,vaini,-21.2,-175.2,27.09,89,75,5.66,TO,1675369966
7,tuatapere,-46.1333,167.6833,20.62,84,54,0.5,NZ,1675369967
8,port alfred,-33.5906,26.891,21.21,92,2,0.89,ZA,1675369708
9,tiksi,71.6872,128.8694,-33.38,98,80,3.45,RU,1675369967
10,victoria,22.2855,114.1577,18.3,83,77,5.36,HK,1675369924
11,arraial do cabo,-22.9661,-42.0278,30.98,65,40,5.66,BR,1675369967
12,kodiak,57.79,-152.4072,-2.27,86,100,2.06,US,1675369968
13,taman,45.2117,36.7161,4.36,68,13,2.69,RU,1675369968
14,richards bay,-28.783,32.0377,23.74,90,100,1.71,ZA,1675369969
15,mehamn,71.0357,27.8492,-4.05,93,40,4.63,NO,1675369969
16,carnarvon,-24.8667,113.6333,28.51,60,43,5.53,AU,1675369677
17,pacifica,37.6138,-122.4869,15.38,56,100,3.13,US,1675369970
18,dikson,73.5069,80.5464,-15.65,91,100,3.01,RU,1675369970
19,rikitea,-23.1203,-134.9692,26.2,71,74,7.06,PF,1675369970
20,ushuaia,-54.8,-68.3,20.81,40,40,4.12,AR,1675369971
21,hobart,-42.8794,147.3294,8.36,93,0,4.12,AU,1675369971
22,bethel,41.3712,-73.414,4.09,37,0,5.14,US,1675369815
23,marienburg,54.0359,19.0266,2.8,84,85,5.01,PL,1675369972
24,chake chake,-5.2459,39.7666,25.46,89,100,2.24,TZ,1675369972
25,pedernales,18.0384,-71.744,28.13,52,6,1.49,DO,1675369972
26,mar del plata,-38.0023,-57.5575,22.19,85,100,7.6,AR,1675369973
27,saskylakh,71.9167,114.0833,-25.4,99,100,1.28,RU,1675369973
28,boa vista,2.8197,-60.6733,31.99,45,75,6.17,BR,1675369296
29,cherskiy,68.75,161.3,-25.86,100,99,1.6,RU,1675369974
30,kargasok,59.0556,80.8572,-14.96,99,98,1.83,RU,1675369974
31,totness,5.8833,-56.3167,25.8,79,68,4.74,SR,1675369974
32,yar-sale,66.8333,70.8333,-15.04,95,18,3.86,RU,1675369725
33,bambous virieux,-20.3428,57.7575,26.14,89,40,0.51,MU,1675369975
34,ponta do sol,32.6667,-17.1,16.35,55,49,3.97,PT,1675369721
35,hokitika,-42.7167,170.9667,18.68,89,100,2.84,NZ,1675369975
36,albany,42.6001,-73.9662,2.71,38,21,0.45,US,1675369908
37,tacuarembo,-31.7333,-55.9833,19.19,94,100,4.35,UY,1675369976
38,atuona,-9.8,-139.0333,25.94,80,70,9.64,PF,1675369976
39,hilo,19.7297,-155.09,27.01,68,0,2.24,US,1675369868
40,bluff,-46.6,168.3333,17.81,92,72,2.12,NZ,1675369977
41,constitucion,-35.3333,-72.4167,23.42,47,3,8.09,CL,1675369777
42,dumbarton,55.9443,-4.5706,10.22,85,75,9.77,GB,1675369977
43,suluq,31.6682,20.2521,12.23,62,19,2.54,LY,1675369977
44,punta arenas,-53.15,-70.9167,19.06,42,0,12.35,CL,1675369978
45,grand gaube,-20.0064,57.6608,26.22,82,2,0.45,MU,1675369978
46,belyy yar,53.6039,91.3903,-24.06,84,40,1.0,RU,1675369979
47,carroll,39.5501,-77.0164,4.6,54,0,4.63,US,1675369877
48,kapaa,22.0752,-159.319,26.18,86,75,4.12,US,1675369979
49,sitka,57.0531,-135.33,4.94,81,100,3.09,US,1675369979
50,lebu,-37.6167,-73.65,17.34,69,0,10.58,CL,1675369980
51,san borja,-14.8167,-66.85,28.76,80,98,2.19,BO,1675369980
52,mahebourg,-20.4081,57.7,26.16,89,40,0.51,MU,1675369980
53,mercedes,-34.6515,-59.4307,27.02,60,25,4.03,AR,1675369981
54,cape town,-33.9258,18.4232,19.49,68,0,8.75,ZA,1675369981
55,vestmannaeyjar,63.4427,-20.2734,3.08,71,100,14.64,IS,1675369981
56,coquimbo,-29.9533,-71.3436,19.85,72,20,4.63,CL,1675369450
57,saint-philippe,-21.3585,55.7679,24.77,88,77,6.64,RE,1675369705
58,mazatlan,23.2167,-106.4167,26.98,73,20,6.17,MX,1675369733
59,tongliao,43.6125,122.2653,-10.88,33,99,2.37,CN,1675369982
60,buala,-8.145,159.5921,26.72,82,100,1.7,SB,1675369983
61,butaritari,3.0707,172.7902,27.05,78,100,7.9,KI,1675369983
62,krasnyy chikoy,50.3643,108.7512,-21.18,100,100,1.17,RU,1675369983
63,baft,29.234,56.6057,4.56,94,95,4.22,IR,1675369984
64,klaksvik,62.2266,-6.589,6.51,95,100,11.88,FO,1675369984
65,cayenne,4.9333,-52.3333,27.02,74,75,2.57,GF,1675369985
66,avarua,-21.2078,-159.775,28.03,83,100,5.14,CK,1675369710
67,shelburne,44.0787,-80.2041,-1.75,81,67,9.54,CA,1675369985
68,saldanha,-33.0117,17.9442,17.03,84,0,8.81,ZA,1675369986
69,moerai,-22.4333,-151.3333,26.38,79,1,6.71,PF,1675369986
70,jamestown,42.097,-79.2353,2.77,40,0,8.23,US,1675369908
71,sao joao da barra,-21.6403,-41.0511,30.05,88,97,6.88,BR,1675369987
72,billings,45.7833,-108.5007,-1.38,69,75,3.09,US,1675369987
73,hermanus,-34.4187,19.2345,17.11,77,8,2.79,ZA,1675369988
74,huty,50.1332,35.3439,-0.8,92,97,3.6,UA,1675369988
75,kaitangata,-46.2817,169.8464,22.38,62,31,2.23,NZ,1675369989
76,saint george,37.1041,-113.5841,11.35,34,0,1.34,US,1675369943
77,carutapera,-1.195,-46.02,23.19,97,100,1.91,BR,1675369732
78,bathsheba,13.2167,-59.5167,27.34,65,40,8.75,BB,1675369990
79,ornskoldsvik,63.2909,18.7153,-8.47,92,0,4.12,SE,1675369990
80,beloha,-25.1667,45.05,22.19,82,69,5.75,MG,1675369991
81,geraldton,-28.7667,114.6,25.23,36,3,4.63,AU,1675369991
82,ishigaki,24.3448,124.1572,19.07,88,100,5.14,JP,1675369992
83,aklavik,68.2191,-135.0107,-36.0,68,20,3.6,CA,1675369992
84,chase,50.8165,-119.6857,0.08,92,100,1.94,CA,1675369993
85,college,64.8569,-147.8028,-11.34,86,100,0.0,US,1675369993
86,puerto madero,14.7208,-92.4215,32.11,51,20,3.6,MX,1675369993
87,asfi,32.2994,-9.2372,11.96,63,0,7.56,MA,1675369994
88,castro,-24.7911,-50.0119,19.95,94,100,4.01,BR,1675369994
89,gap,44.6667,6.0,-5.09,72,16,3.47,FR,1675369995
90,melbu,68.5044,14.8297,-1.1,74,84,3.6,NO,1675369995
91,ahipara,-35.1667,173.1667,21.96,95,97,2.89,NZ,1675369995
92,east london,-33.0153,27.9116,22.52,83,63,2.02,ZA,1675369996
93,ancud,-41.8697,-73.8203,18.19,71,9,2.85,CL,1675369996
94,busselton,-33.65,115.3333,15.93,85,8,7.17,AU,1675369997
95,camacha,33.0833,-16.3333,13.68,58,40,4.12,PT,1675369997
96,massaguet,12.4755,15.4365,26.09,16,20,6.58,TD,1675369997
97,maxixe,-23.8597,35.3472,24.22,75,7,3.86,MZ,1675369998
98,port-cartier,50.0334,-66.8654,-9.03,83,100,4.81,CA,1675369772
99,barrow,71.2906,-156.7887,-18.99,78,100,6.17,US,1675369998
100,thayetmyo,19.3167,95.1833,22.65,45,38,0.7,MM,1675369998
101,ruwi,23.5996,58.5507,21.83,70,0,1.95,OM,1675369999
102,lavrentiya,65.5833,-171.0,-18.03,93,13,3.79,RU,1675369999
103,gat,31.61,34.7642,12.1,100,89,3.02,IL,1675369804
104,alekseyevsk,57.8406,108.3492,-13.19,95,100,5.14,RU,1675370000
105,port elizabeth,-33.918,25.5701,21.72,89,0,5.81,ZA,1675370000
106,qaanaaq,77.484,-69.3632,-17.14,59,9,4.19,GL,1675370001
107,namibe,-15.1961,12.1522,22.64,77,47,2.16,AO,1675370001
108,tuktoyaktuk,69.4541,-133.0374,-37.0,67,40,2.57,CA,1675370001
109,pierre,44.3683,-100.351,-11.19,59,20,3.6,US,1675370002
110,clyde river,70.4692,-68.5914,-32.87,68,20,4.63,CA,1675370002
111,qaqortoq,60.7167,-46.0333,-18.19,96,23,1.71,GL,1675370002
112,marawi,7.9986,124.2928,18.53,94,100,0.43,PH,1675370003
113,thompson,55.7435,-97.8558,-27.91,57,0,4.63,CA,1675369999
114,yumen,40.2833,97.2,-6.72,42,13,0.37,CN,1675370003
115,wainwright,52.839,-110.8572,-18.49,80,99,6.44,CA,1675370004
116,marystown,47.1666,-55.1483,-5.91,76,81,6.78,CA,1675370004
117,shizunai,42.3339,142.3669,-7.23,71,78,6.24,JP,1675370005
118,hefei,31.8639,117.2808,1.01,80,0,1.0,CN,1675370005
119,otane,-39.8833,176.6333,21.12,89,100,2.92,NZ,1675370005
120,new norfolk,-42.7826,147.0587,8.17,88,10,0.9,AU,1675370006
121,husavik,66.0449,-17.3389,-0.54,90,100,10.14,IS,1675370006
122,hithadhoo,-0.6,73.0833,27.96,64,84,6.38,MV,1675369729
123,pahrump,36.2083,-115.9839,14.03,26,0,0.45,US,1675369789
124,mairang,25.5667,91.6333,7.3,72,3,0.82,IN,1675370007
125,ilulissat,69.2167,-51.1,-12.99,56,75,1.54,GL,1675370008
126,saint-augustin,51.226,-58.6502,-19.46,93,81,1.39,CA,1675370008
127,trairi,-3.2778,-39.2689,26.47,80,69,4.36,BR,1675369845
128,jasper,37.2001,-94.3502,8.32,36,0,2.57,US,1675369825
129,atar,20.5169,-13.0499,20.92,13,14,4.43,MR,1675370009
130,sandwick,60.0,-1.25,8.9,93,75,13.89,GB,1675370009
131,airai,-8.9266,125.4092,16.2,96,100,1.36,TL,1675370010
132,kautokeino,69.0125,23.0412,-21.51,100,60,0.86,NO,1675370010
133,batemans bay,-35.7167,150.1833,17.08,51,0,3.85,AU,1675370011
134,paris,48.8534,2.3488,9.5,78,100,4.12,FR,1675369260
135,souillac,-20.5167,57.5167,26.21,89,40,0.51,MU,1675370011
136,parintins,-2.6283,-56.7358,27.43,75,99,0.4,BR,1675370012
137,mitsamiouli,-11.3847,43.2844,27.41,78,99,0.92,KM,1675370012
138,nome,64.5011,-165.4064,-9.96,100,100,0.0,US,1675370013
139,chara,56.9064,118.2631,-22.63,80,94,0.97,RU,1675370013
140,eskilstuna,59.3666,16.5077,-6.26,88,9,1.2,SE,1675370013
141,portland,45.5234,-122.6762,10.26,57,75,2.24,US,1675369435
142,tura,25.5198,90.2201,13.62,59,3,1.41,IN,1675370014
143,touros,-5.1989,-35.4608,26.92,75,39,6.86,BR,1675370014
144,coos bay,43.3665,-124.2179,11.19,88,0,2.57,US,1675369853
145,champerico,14.3,-91.9167,35.3,57,6,5.61,GT,1675370015
146,kangaatsiaq,68.3065,-53.4641,-17.22,92,100,5.04,GL,1675370015
147,lata,40.1629,-8.3327,7.82,78,0,1.53,PT,1675370015
148,puerto baquerizo moreno,-0.9,-89.6,28.55,79,75,0.51,EC,1675370016
149,waddan,29.1614,16.139,12.58,45,100,4.05,LY,1675370016
150,nanortalik,60.1432,-45.2371,-9.5,75,99,6.9,GL,1675370017
151,chuy,-33.6971,-53.4616,20.39,92,100,6.09,UY,1675370017
152,georgetown,5.4112,100.3354,25.96,89,20,0.0,MY,1675369980
153,yazykovo,55.2199,56.1353,-13.01,90,100,1.81,RU,1675370018
154,kloulklubed,7.0419,134.2556,28.25,74,100,8.51,PW,1675370018
155,taft,31.7471,54.2088,8.97,32,20,5.14,IR,1675370018
156,zhigansk,66.7697,123.3711,-33.53,98,100,3.51,RU,1675370019
157,kahului,20.8947,-156.47,27.2,70,20,3.6,US,1675370019
158,warrnambool,-38.3833,142.4833,10.8,77,100,8.01,AU,1675369908
159,bonthe,7.5264,-12.505,25.85,85,77,3.24,SL,1675370020
160,bambari,5.768,20.6757,27.51,36,1,0.56,CF,1675370020
161,kommunar,59.6206,30.39,-1.26,98,100,1.07,RU,1675370021
162,north platte,41.1239,-100.7654,-5.06,72,40,5.66,US,1675370021
163,kapoeta,4.7717,33.5903,29.57,29,86,2.26,SS,1675370021
164,pogar,52.554,33.2591,-0.79,98,100,3.3,RU,1675370022
165,port shepstone,-30.7414,30.455,23.51,86,69,2.86,ZA,1675369763
166,shangrao,28.4532,117.9686,5.21,92,100,1.29,CN,1675370022
167,roald,62.5833,6.1333,2.64,69,0,6.69,NO,1675369793
168,cidreira,-30.1811,-50.2056,25.94,78,100,5.83,BR,1675370022
169,tateyama,34.9833,139.8667,5.61,58,100,6.42,JP,1675370023
170,vestmanna,62.1564,-7.1664,5.51,87,100,5.14,FO,1675370023
171,padang,-0.9492,100.3543,24.52,84,100,2.07,ID,1675370024
172,acajutla,13.5928,-89.8275,29.42,56,7,3.82,SV,1675370024
173,baiao,-2.7906,-49.6717,23.18,91,100,1.48,BR,1675370024
174,narsaq,60.9167,-46.05,-9.88,97,70,2.51,GL,1675370025
175,srednekolymsk,67.45,153.6833,-34.14,100,100,0.77,RU,1675369731
176,kenai,60.5544,-151.2583,-2.14,95,100,1.54,US,1675369979
177,matay,28.419,30.7792,11.29,49,0,2.25,EG,1675370025
178,mednogorsk,51.4128,57.595,-18.0,89,84,3.11,RU,1675370026
179,nuuk,64.1835,-51.7216,-12.66,72,75,4.63,GL,1675370026
180,saint anthony,45.0205,-93.218,-11.97,46,0,10.8,US,1675370026
181,arlit,18.7369,7.3853,20.75,12,6,1.93,NE,1675370027
182,nikolskoye,59.7035,30.7861,-1.06,99,100,0.74,RU,1675370027
183,mizdah,31.4451,12.9801,10.02,56,99,4.16,LY,1675370028
184,veraval,20.9,70.3667,21.91,44,46,4.86,IN,1675370028
185,guerrero negro,27.9769,-114.0611,20.05,34,16,3.71,MX,1675370028
186,ribeira grande,38.5167,-28.7,15.99,88,20,8.94,PT,1675370029
187,marsh harbour,26.5412,-77.0636,24.46,68,0,3.26,BS,1675370029
188,myatlevo,54.8969,35.6762,-1.23,96,99,3.35,RU,1675370029
189,roswell,34.0232,-84.3616,10.0,94,100,2.06,US,1675369910
190,doka,13.5167,35.7667,25.22,29,10,6.76,SD,1675370030
191,faanui,-16.4833,-151.75,27.45,75,30,8.31,PF,1675370030
192,raymondville,26.4815,-97.7831,9.06,67,100,5.42,US,1675370031
193,sovetskaya gavan,48.9723,140.2878,-23.63,91,10,2.37,RU,1675370031
194,sao filipe,14.8961,-24.4956,22.11,73,27,5.97,CV,1675370031
195,leningradskiy,69.3833,178.4167,-29.44,100,100,2.61,RU,1675370032
196,berezovka,53.7214,25.4993,-1.11,85,97,5.65,BY,1675370032
197,san jeronimo,-11.9472,-75.2829,15.0,66,70,2.01,PE,1675370033
198,abrau-dyurso,44.69,37.59,-1.3,76,56,0.89,RU,1675370033
199,villazon,-22.0866,-65.5942,16.87,41,47,8.51,BO,1675370034
200,nacala,-14.5428,40.6728,24.93,89,55,1.65,MZ,1675370034
201,bengkulu,-3.8004,102.2655,23.54,90,100,2.34,ID,1675370035
202,urucui,-7.2294,-44.5561,26.7,76,100,1.33,BR,1675370035
203,fuerte olimpo,-21.0415,-57.8738,30.82,65,83,0.28,PY,1675370035
204,port hardy,50.6996,-127.4199,7.1,76,100,11.32,CA,1675370036
205,olmos,-5.9847,-79.7453,32.72,38,70,3.84,PE,1675370036
206,tatawin,32.9297,10.4518,9.01,63,100,3.59,TN,1675370036
207,buchanan,5.8808,-10.0467,25.98,87,49,2.37,LR,1675370037
208,bredasdorp,-34.5322,20.0403,17.51,73,2,0.7,ZA,1675370037
209,carbonia,39.1672,8.5222,10.56,86,27,2.27,IT,1675370039
210,lompoc,34.6391,-120.4579,20.08,27,75,5.66,US,1675370039
211,san juan,-31.5375,-68.5364,31.24,32,2,3.43,AR,1675369874
212,balkhash,46.844,74.9804,-5.88,91,100,3.52,KZ,1675370040
213,luderitz,-26.6481,15.1594,18.72,62,6,9.17,NA,1675370040
214,islamkot,24.6997,70.177,17.83,21,3,3.29,PK,1675370041
215,bumba,2.1833,22.4667,24.48,65,81,0.68,CD,1675370041
216,sibolga,1.7427,98.7792,24.01,90,98,1.16,ID,1675370042
217,topchanchi,23.9,86.2,13.02,32,100,3.01,IN,1675370042
218,chokurdakh,70.6333,147.9167,-26.37,99,99,1.91,RU,1675370042
219,chirawa,28.2408,75.6448,14.2,36,0,2.98,IN,1675370043
220,lagoa,39.05,-27.9833,14.54,83,40,10.29,PT,1675370043
221,elko,41.0002,-115.5012,-4.09,52,4,2.24,US,1675370044
222,kologriv,58.8275,44.3178,-4.34,96,100,2.64,RU,1675370044
223,saint-pierre,-21.3393,55.4781,24.82,88,75,6.69,RE,1675370044
224,karratha,-20.7377,116.8463,29.61,68,30,2.14,AU,1675370045
225,dingle,10.9995,122.6711,23.06,95,81,3.8,PH,1675370045
226,caravelas,-17.7125,-39.2481,25.88,76,0,3.07,BR,1675370045
227,tubuala,9.5167,-79.0333,26.4,77,34,6.71,PA,1675370046
228,saint-georges,12.0564,-61.7485,27.82,69,20,8.75,GD,1675369897
229,brae,60.3964,-1.353,9.0,89,100,14.37,GB,1675370047
230,thinadhoo,0.5333,72.9333,27.4,66,33,5.68,MV,1675370047
231,tagusao,9.1924,117.8141,25.22,79,100,2.06,PH,1675370048
232,banjar,-8.19,114.9675,24.25,95,100,0.66,ID,1675370048
233,santa maria,-29.6842,-53.8069,26.61,78,75,1.03,BR,1675369919
234,kidal,18.4411,1.4078,22.69,10,9,5.88,ML,1675370049
235,yellowknife,62.456,-114.3525,-29.69,76,20,5.14,CA,1675369832
236,vila franca do campo,37.7167,-25.4333,15.23,79,69,4.96,PT,1675370049
237,san cristobal,7.7669,-72.225,25.1,29,6,2.98,VE,1675370049
238,gold coast,-28.0,153.4333,26.11,97,2,0.0,AU,1675369754
239,talnakh,69.4865,88.3972,-10.44,96,100,3.42,RU,1675369910
240,abu dhabi,24.4667,54.3667,22.01,75,0,3.09,AE,1675369638
241,wick,58.4333,-3.0833,10.03,87,20,7.72,GB,1675370050
242,pinawa,50.1489,-95.8811,-24.12,81,100,4.58,CA,1675369832
243,flin flon,54.7682,-101.865,-25.09,53,20,2.57,CA,1675370050
244,alofi,-19.0595,-169.9187,23.94,94,100,0.51,NU,1675370051
245,somerset,40.5668,-74.5496,5.57,38,0,2.24,US,1675370051
246,umm lajj,25.0213,37.2685,18.21,56,0,5.76,SA,1675370051
247,norman wells,65.282,-126.8329,-31.98,68,20,3.6,CA,1675370052
248,codrington,-38.2667,141.9667,10.62,79,100,6.63,AU,1675370052
249,el limon,10.3059,-67.6321,30.62,64,38,3.37,VE,1675370053
250,calama,-22.4667,-68.9333,23.27,40,40,10.8,CL,1675370053
251,mazagao,-0.115,-51.2894,26.03,83,100,2.59,BR,1675370053
252,zunheboto,25.9667,94.5167,8.74,74,20,1.51,IN,1675370054
253,shache,38.4167,77.2406,-6.66,84,12,1.93,CN,1675370054
254,taltal,-25.4,-70.4833,22.62,73,24,3.38,CL,1675370055
255,vardo,70.3705,31.1107,-6.01,93,40,6.17,NO,1675369520
256,sarangani,5.4033,125.4636,27.11,75,100,8.38,PH,1675369975
257,seoni,22.0833,79.5333,13.63,24,100,2.71,IN,1675370055
258,gushikawa,26.3544,127.8686,15.57,87,0,0.0,JP,1675370056
259,bandundu,-3.3167,17.3667,22.91,81,20,1.3,CD,1675370056
260,palmer,42.1584,-72.3287,3.41,36,20,7.2,US,1675370056
261,kitimat,54.0524,-128.6534,1.21,100,100,1.66,CA,1675369945
262,khasan,42.4308,130.6434,-10.75,72,11,4.38,RU,1675370057
263,henties bay,-22.116,14.2845,17.81,88,80,3.06,NA,1675370059
264,pontes e lacerda,-15.2261,-59.3353,28.69,75,94,0.91,BR,1675369799
265,mao,39.8885,4.2658,10.31,71,20,6.17,ES,1675370059
266,bajil,15.0584,43.2851,24.82,73,2,3.18,YE,1675370060
267,charagua,-19.8,-63.2167,31.76,58,86,2.37,BO,1675370060
268,kalmunai,7.4167,81.8167,24.49,91,99,2.39,LK,1675370060
269,iqaluit,63.7506,-68.5145,-37.15,67,20,2.06,CA,1675369860
